canadian_and_foreign_direct_investment,countries_or_regions,2015,2016,2017,2018,2019,2020,series
Canadian direct investment abroad - total book value,Peru,13378.0,12911.0,13601.0,13968.0,16852.0,15020.0,FDI IIC
Canadian direct investment abroad - total book value,Philippines,1756.0,2028.0,2034.0,2960.0,2324.0,2558.0,FDI IIC
Canadian direct investment abroad - total book value,Poland,1126.0,258.0,294.0,351.0,570.0,588.0,FDI IIC
Canadian direct investment abroad - total book value,Portugal,236.0,47.0,59.0,175.0,65.0,73.0,FDI IIC
Canadian direct investment abroad - total book value,Qatar,1.0,0.0,0.0,-7.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Romania,197.0,549.0,679.0,931.0,364.0,305.0,FDI IIC
Canadian direct investment abroad - total book value,Russian Federation,1735.0,1246.0,1536.0,1021.0,969.0,782.0,FDI IIC
Canadian direct investment abroad - total book value,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Saint Lucia,177.0,46.0,41.0,126.0,128.0,130.0,FDI IIC
Canadian direct investment abroad - total book value,Saudi Arabia,133.0,19.0,103.0,2.0,38.0,43.0,FDI IIC
Canadian direct investment abroad - total book value,Senegal,474.0,964.0,893.0,842.0,1009.0,1228.0,FDI IIC
Canadian direct investment abroad - total book value,Seychelles,398.0,0.0,122.0,0.0,129.0,129.0,FDI IIC
Canadian direct investment abroad - total book value,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Singapore,4273.0,4497.0,5458.0,9422.0,7306.0,7833.0,FDI IIC
Canadian direct investment abroad - total book value,Slovakia,5.0,-18.0,2.0,-5.0,-12.0,-12.0,FDI IIC
Canadian direct investment abroad - total book value,Slovenia,0.0,0.0,1.0,0.0,1.0,1.0,FDI IIC
Canadian direct investment abroad - total book value,South Africa,1947.0,1976.0,2041.0,860.0,1014.0,897.0,FDI IIC
Canadian direct investment abroad - total book value,South Korea,1413.0,1599.0,1849.0,2470.0,1543.0,1813.0,FDI IIC
Canadian direct investment abroad - total book value,South and Central America,57096.0,58362.0,63345.0,70816.0,69180.0,65164.0,FDI IIC
Canadian direct investment abroad - total book value,Spain,4219.0,5482.0,5151.0,7997.0,7346.0,8091.0,FDI IIC
Canadian direct investment abroad - total book value,Sri Lanka,24.0,7.0,19.0,310.0,342.0,327.0,FDI IIC
Canadian direct investment abroad - total book value,Sudan,0.0,72.0,0.0,13.0,0.0,10.0,FDI IIC
Canadian direct investment abroad - total book value,Suriname,86.0,88.0,86.0,87.0,109.0,109.0,FDI IIC
Canadian direct investment abroad - total book value,Sweden,5794.0,4231.0,4251.0,7329.0,6521.0,7655.0,FDI IIC
Canadian direct investment abroad - total book value,Switzerland,-243.0,-59.0,4317.0,5542.0,4155.0,4451.0,FDI IIC
Canadian direct investment abroad - total book value,Syrian Arab Republic,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Taiwan,115.0,113.0,89.0,580.0,541.0,557.0,FDI IIC
Canadian direct investment abroad - total book value,Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,"Tanzania, United Republic of",888.0,350.0,315.0,375.0,146.0,138.0,FDI IIC
Canadian direct investment abroad - total book value,Thailand,143.0,155.0,175.0,261.0,207.0,326.0,FDI IIC
Canadian direct investment abroad - total book value,Togo,3.0,2.0,-1.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Trinidad and Tobago,84.0,79.0,84.0,89.0,95.0,100.0,FDI IIC
Canadian direct investment abroad - total book value,Tunisia,169.0,116.0,73.0,67.0,69.0,71.0,FDI IIC
Canadian direct investment abroad - total book value,Turkey,968.0,1080.0,1491.0,1358.0,1466.0,1997.0,FDI IIC
Canadian direct investment abroad - total book value,Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Uganda,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Ukraine,552.0,315.0,680.0,6.0,59.0,81.0,FDI IIC
Canadian direct investment abroad - total book value,Union of Soviet Socialist Republics,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,United Arab Emirates,-267.0,346.0,-266.0,34.0,-114.0,-108.0,FDI IIC
Canadian direct investment abroad - total book value,United Kingdom,92456.0,92860.0,100858.0,104172.0,112634.0,116762.0,FDI IIC
Canadian direct investment abroad - total book value,United States,448334.0,490233.0,531232.0,625840.0,646003.0,669087.0,FDI IIC
Canadian direct investment abroad - total book value,Uruguay,756.0,449.0,981.0,1046.0,1029.0,1049.0,FDI IIC
Canadian direct investment abroad - total book value,Venezuela,456.0,-48.0,172.0,-1.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Viet Nam,-76.0,97.0,661.0,214.0,857.0,876.0,FDI IIC
Canadian direct investment abroad - total book value,Yemen,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Yugoslavia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Zaire,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Zambia,9.0,44.0,0.0,10.0,67.0,67.0,FDI IIC
Canadian direct investment abroad - total book value,Zimbabwe,28.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Africa,3956.0,2415.0,1854.0,2484.0,2394.0,2538.0,FDI IIC
Foreign direct investment in Canada - total book value,Albania,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,All countries,782912.0,810668.0,828991.0,932643.0,1018340.0,1046301.0,FDI IIC
Foreign direct investment in Canada - total book value,Angola,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Argentina,15.0,29.0,-72.0,-43.0,73.0,-189.0,FDI IIC
Foreign direct investment in Canada - total book value,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Aruba,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Asia/Oceania,78998.0,79805.0,87922.0,106660.0,113385.0,108583.0,FDI IIC
Foreign direct investment in Canada - total book value,Australia,9383.0,10304.0,8997.0,11799.0,17776.0,17689.0,FDI IIC
Foreign direct investment in Canada - total book value,Austria,907.0,850.0,906.0,195.0,267.0,267.0,FDI IIC
Foreign direct investment in Canada - total book value,Bahamas,24.0,-51.0,-39.0,-31.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Barbados,-353.0,395.0,698.0,1147.0,801.0,1035.0,FDI IIC
Foreign direct investment in Canada - total book value,Belgium,6159.0,7483.0,6828.0,3163.0,4854.0,4724.0,FDI IIC
Foreign direct investment in Canada - total book value,Belize,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Benin,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Bermuda,17686.0,15801.0,14629.0,20419.0,21586.0,21019.0,FDI IIC
Foreign direct investment in Canada - total book value,Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Botswana,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Brazil,19155.0,15861.0,13304.0,14439.0,13525.0,15272.0,FDI IIC
Foreign direct investment in Canada - total book value,British Virgin Islands,2716.0,3267.0,3011.0,5459.0,9201.0,9165.0,FDI IIC
Foreign direct investment in Canada - total book value,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Burma,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Cameroon (Republic of),0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Cayman Islands,5843.0,6427.0,7877.0,6414.0,9641.0,10590.0,FDI IIC
Foreign direct investment in Canada - total book value,Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Chile,691.0,916.0,1195.0,573.0,576.0,657.0,FDI IIC
Foreign direct investment in Canada - total book value,Colombia,-6.0,0.0,-7.0,73.0,-6.0,-11.0,FDI IIC
Foreign direct investment in Canada - total book value,Congo,-1.0,-1.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,"Congo, Democratic Republic of the",0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Costa Rica,0.0,1.0,-1.0,-1.0,5.0,5.0,FDI IIC
Foreign direct investment in Canada - total book value,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Cyprus,853.0,830.0,682.0,525.0,548.0,504.0,FDI IIC
Foreign direct investment in Canada - total book value,Czech Republic,0.0,0.0,0.0,0.0,43.0,43.0,FDI IIC
Foreign direct investment in Canada - total book value,Czechoslovakia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Denmark,571.0,697.0,791.0,709.0,818.0,1079.0,FDI IIC
Foreign direct investment in Canada - total book value,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Egypt,536.0,512.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Europe,282926.0,305440.0,310625.0,352790.0,398077.0,418516.0,FDI IIC
Foreign direct investment in Canada - total book value,Finland,746.0,523.0,407.0,303.0,72.0,109.0,FDI IIC
Foreign direct investment in Canada - total book value,France,8013.0,10512.0,11532.0,12705.0,16792.0,17675.0,FDI IIC
