Trade,Year,Principal_trading_partners,VALUE,iso
Balances,2010,United Kingdom,7416.0,GBR
Balances,2010,United States,35675.0,USA
Balances,2011,Algeria,-5327.0,DZA
Balances,2011,Australia,490.0,AUS
Balances,2011,Belgium,73.0,BEL
Balances,2011,Brazil,-21.0,BRA
Balances,2011,China,-10577.0,CHN
Balances,2011,European Union excluding the United Kingdom,-12050.0,GBR
Balances,2011,France,-553.0,FRA
Balances,2011,Germany,-6160.0,DEU
Balances,2011,Hong Kong,-1771.0,HKG
Balances,2011,India,901.0,IND
Balances,2011,Indonesia,774.0,IDN
Balances,2011,Iraq,-822.0,IRQ
Balances,2011,Italy,-1837.0,ITA
Balances,2011,Japan,1919.0,JPN
Balances,2011,Mexico,-7994.0,MEX
Balances,2011,Netherlands,1992.0,NLD
Balances,2011,Norway,-826.0,NOR
Balances,2011,Other European Union countries not elsewhere classified,-5079.0,Other European Union countries not elsewhere classified
Balances,2011,Other countries not elsewhere classified,-10452.0,Other countries not elsewhere classified
Balances,2011,Peru,-3753.0,PER
Balances,2011,Russian Federation,568.0,RUS
Balances,2011,Saudi Arabia,-1168.0,SAU
Balances,2011,Singapore,-1349.0,SGP
Balances,2011,South Korea,230.0,South Korea
Balances,2011,Spain,-484.0,ESP
Balances,2011,Switzerland,-2933.0,CHE
Balances,2011,Taiwan,-827.0,TWN
Balances,2011,Total of all countries,1189.0,Total of all countries
Balances,2011,Turkey,-1124.0,TUR
Balances,2011,United Kingdom,8821.0,GBR
Balances,2011,United States,48484.0,USA
Balances,2012,Algeria,-5527.0,DZA
Balances,2012,Australia,301.0,AUS
Balances,2012,Belgium,282.0,BEL
Balances,2012,Brazil,-646.0,BRA
Balances,2012,China,-10583.0,CHN
Balances,2012,European Union excluding the United Kingdom,-14721.0,GBR
Balances,2012,France,-351.0,FRA
Balances,2012,Germany,-8190.0,DEU
Balances,2012,Hong Kong,-2041.0,HKG
Balances,2012,India,360.0,IND
Balances,2012,Indonesia,870.0,IDN
Balances,2012,Iraq,-2183.0,IRQ
Balances,2012,Italy,-2189.0,ITA
Balances,2012,Japan,6.0,JPN
Balances,2012,Mexico,-8992.0,MEX
Balances,2012,Netherlands,618.0,NLD
Balances,2012,Norway,-449.0,NOR
Balances,2012,Other European Union countries not elsewhere classified,-4356.0,Other European Union countries not elsewhere classified
Balances,2012,Other countries not elsewhere classified,-10913.0,Other countries not elsewhere classified
Balances,2012,Peru,-3125.0,PER
Balances,2012,Russian Federation,1153.0,RUS
Balances,2012,Saudi Arabia,60.0,SAU
Balances,2012,Singapore,-578.0,SGP
Balances,2012,South Korea,-1227.0,South Korea
Balances,2012,Spain,-533.0,ESP
Balances,2012,Switzerland,-3116.0,CHE
Balances,2012,Taiwan,-1258.0,TWN
Balances,2012,Total of all countries,-12533.0,Total of all countries
Balances,2012,Turkey,-2637.0,TUR
Balances,2012,United Kingdom,11485.0,GBR
Balances,2012,United States,41229.0,USA
Balances,2013,Algeria,-2959.0,DZA
Balances,2013,Australia,79.0,AUS
Balances,2013,Belgium,-145.0,BEL
Balances,2013,Brazil,-224.0,BRA
Balances,2013,China,-9913.0,CHN
Balances,2013,European Union excluding the United Kingdom,-16588.0,GBR
Balances,2013,France,-471.0,FRA
Balances,2013,Germany,-8538.0,DEU
Balances,2013,Hong Kong,403.0,HKG
Balances,2013,India,647.0,IND
Balances,2013,Indonesia,1105.0,IDN
Balances,2013,Iraq,-3029.0,IRQ
Balances,2013,Italy,-2266.0,ITA
Balances,2013,Japan,1313.0,JPN
Balances,2013,Mexico,-9744.0,MEX
Balances,2013,Netherlands,-249.0,NLD
Balances,2013,Norway,-1744.0,NOR
Balances,2013,Other European Union countries not elsewhere classified,-4393.0,Other European Union countries not elsewhere classified
Balances,2013,Other countries not elsewhere classified,-7946.0,Other countries not elsewhere classified
Balances,2013,Peru,-2279.0,PER
Balances,2013,Russian Federation,682.0,RUS
Balances,2013,Saudi Arabia,-1603.0,SAU
Balances,2013,Singapore,-833.0,SGP
Balances,2013,South Korea,-1921.0,South Korea
Balances,2013,Spain,-527.0,ESP
Balances,2013,Switzerland,-2680.0,CHE
Balances,2013,Taiwan,-1105.0,TWN
Balances,2013,Total of all countries,-7243.0,Total of all countries
Balances,2013,Turkey,-934.0,TUR
Balances,2013,United Kingdom,7219.0,GBR
Balances,2013,United States,44812.0,USA
Balances,2014,Algeria,-902.0,DZA
Balances,2014,Australia,467.0,AUS
Balances,2014,Belgium,499.0,BEL
Balances,2014,Brazil,-619.0,BRA
Balances,2014,China,-15103.0,CHN
Balances,2014,European Union excluding the United Kingdom,-16602.0,GBR
Balances,2014,France,-929.0,FRA
Balances,2014,Germany,-9674.0,DEU
Balances,2014,Hong Kong,455.0,HKG
Balances,2014,India,904.0,IND
Balances,2014,Indonesia,1142.0,IDN
Balances,2014,Iraq,-1570.0,IRQ
Balances,2014,Italy,-464.0,ITA
Balances,2014,Japan,1830.0,JPN
Balances,2014,Mexico,-10392.0,MEX
Balances,2014,Netherlands,-323.0,NLD
Balances,2014,Norway,534.0,NOR
Balances,2014,Other European Union countries not elsewhere classified,-4661.0,Other European Union countries not elsewhere classified
Balances,2014,Other countries not elsewhere classified,-5486.0,Other countries not elsewhere classified
Balances,2014,Peru,-1996.0,PER
Balances,2014,Russian Federation,940.0,RUS
Balances,2014,Saudi Arabia,-906.0,SAU
Balances,2014,Singapore,75.0,SGP
Balances,2014,South Korea,-1256.0,South Korea
Balances,2014,Spain,-1050.0,ESP
Balances,2014,Switzerland,-3204.0,CHE
Balances,2014,Taiwan,-1328.0,TWN
Balances,2014,Total of all countries,5577.0,Total of all countries
Balances,2014,Turkey,1.0,TUR
Balances,2014,United Kingdom,7625.0,GBR
Balances,2014,United States,50966.0,USA
Balances,2015,Algeria,-426.0,DZA
Balances,2015,Australia,414.0,AUS
Balances,2015,Belgium,-38.0,BEL
Balances,2015,Brazil,-917.0,BRA
Balances,2015,China,-17545.0,CHN
Balances,2015,European Union excluding the United Kingdom,-21773.0,GBR
Balances,2015,France,-1316.0,FRA
Balances,2015,Germany,-11089.0,DEU
Balances,2015,Hong Kong,-396.0,HKG
Balances,2015,India,1544.0,IND
Balances,2015,Indonesia,691.0,IDN
Balances,2015,Iraq,186.0,IRQ
Balances,2015,Italy,-3062.0,ITA
Balances,2015,Japan,-668.0,JPN
Balances,2015,Mexico,-10544.0,MEX
